Status,Type,CompetitorFirstName,CompetitorLastName,City,Province,HighlandScrutineerCode,RegistrationDate
Completed,Individual,,Thompson,Cardiff,Wales,I17,2023-02-19 09:26
Completed,Individual,Duncan,,London,England,B07,2023-02-10 19:28
Completed,Individual,Thomas,Miller,,,B11,2023-01-13 16:53
Completed,Individual,Benjamin,Anderson,Ottawa,ON,,2023-02-05 07:53
,Individual,Angus,Clark,Adelaide,SA,X17,2023-01-11 11:58
Completed,,Callum,Gonzalez,Wellington,Wellington,X20,2023-02-13 02:30
Completed,Individual,Liam,Brown,Winnipeg,MB,B08,
Completed,Individual,,,Halifax,NS,X14,2023-02-22 06:41
Completed,Individual,Evie,MacLeod,,,N15,2023-12-20 21:04
,,,Rodriguez,Brisbane,QLD,,
