Status,Type,PaymentMethod,EntrantId,SOBHD,LocalAssoc#,LocalMember?,IsInsideMembershipBoundary?,CompetitorFirstName,CompetitorLastName,ParentName,Sex,Age,AgeOnCompetition,Year,Month,Day,HighlandScrutineerCode,HighlandScrutineerCodeHighlands,HighlandScrutineerCodeChampionship,HighlandScrutineerCodePremiership,TeacherName,GroupName,NumGroup,AvgAgeGroup,DuetPartner,TartanWorn,Email,Address,City,Province,PostalCode,PrimaryPhone,AlternativePhone,EventsTotal,Extras,AdditionalFields,TotalPaid,RegistrationDate,AgreedWaiver,AgreedPhotoWaiver,AgreedAdditionalWaiver,Paypal_trans_id,Paypal_email
Completed,Individual And Choreography,Paypal,28224,00000000,0,0,0,Charlie,Thompson,,,17,,2005,09,01,I17,17,,,Celtic Steps Studio,,,,,,charlie.thompson89@hotmail.com,2878 High Street,Cardiff,Wales,AB20 7AF,(443) 671-2224,,42.5,,,107,2023-02-19 09:26,Yes,No,No,V0OU80MUB7PXWK8JM,charlie.thompson10@hotmail.com
Completed,Individual And Choreography,Paypal,24464,C AB 21 4008P,0,0,0,Duncan,Morrison,,,7,,2015,12,06,B07,07,,,Scotia Dance Academy,,,,,,duncan.morrison@yahoo.com,5995 School Road,London,England,G14 7AL,8792595026,,34,,,72,2023-02-10 19:28,Yes,No,No,E2Q21OKF3Q18EIE95,duncan.morrison@hotmail.com
Completed,Individual And Choreography,Paypal,23408,C-AB-19-4011B,0,0,0,Thomas,Miller,,,11,,2011,04,25,B11,11,,,Highland Fling Studio,,,,,,thomas.miller@yahoo.com,4005 School Road,Darwin,NT,3303,6752748649,(529) 901-5388,42.5,,,139,2023-01-13 16:53,Yes,No,No,C2NQSHYXUSXD269T9,thomas.miller@yahoo.com
Completed,Individual And Choreography,Paypal,29126,CAB220246X,0,0,0,Benjamin,Anderson,,,12,,2010,05,18,X12,12,,,Celtic Crown Academy,,,,,,benjamin_anderson@shaw.ca,5022 Park Avenue,Ottawa,ON,W5O 5L1,721.239.8999,,42.5,,,115,2023-02-05 07:53,Yes,No,No,AMVCN6RTC0AF1VTX7,benjaminanderson23@yahoo.com
Pending,Individual And Choreography,Paypal,23871,00000,0,0,0,Hamish,Adams,,,14,,2008,06,06,NotCompleted,NotCompleted,NotCompleted,NotCompleted,Highland Heritage School,,,,,,hamishadams@telus.net,1979 Maple Avenue,Saskatoon,SK,S4E 2U9,3013911171,,42.5,,,0,2023-01-23 08:07,Yes,No,No,,
Completed,Individual And Choreography,Paypal,24221,CAB219013I,0,0,0,Angus,Clark,,,17,,2005,12,03,X17,17,,,Highland Heritage School,,,,,,angusclark63@telus.net,7740 Church Street,Adelaide,SA,7591,589-891-7659,9985615263,45,,,112,2023-01-11 11:58,Yes,No,No,MWOAI194NEPRZ68H5,angus_clark34@yahoo.com
Completed,Individual And Choreography,Paypal,23320,C-AB-20-5026X,0,0,0,Callum,Gonzalez,,,20,,2002,06,25,X20,20,,,Highland Dreams School,,,,,,callumgonzalez71@shaw.ca,2270 Church Street,Wellington,Wellington,3820,(416) 397-6905,,45,,,123,2023-02-13 02:30,Yes,No,No,J416EGMF6NING55QF,callum_gonzalez@gmail.com
Completed,Individual And Choreography,Paypal,23400,C.AB.21.9048B,0,0,0,Liam,Brown,,,8,,2014,02,19,B08,08,,,Celtic Steps Studio,,,,,,liam_brown@shaw.ca,3212 Park Avenue,Winnipeg,MB,M8R 0C9,229-697-1207,,25.5,,,49,2023-02-07 09:45,Yes,No,No,V75PO8HRUK97YLVO0,liam.brown38@outlook.com
Completed,Individual And Choreography,Paypal,21203,0000000,0,0,0,Elijah,Hall,,,14,,2008,11,26,X14,14,,,Scotia Dance Academy,,,,,,elijahhall60@telus.net,2162 Elm Drive,Halifax,NS,Y6B 2D6,(640) 900-5873,,42.5,,,105,2023-02-22 06:41,Yes,No,No,HUEZGAAGW4FZXBXQZ,elijah.hall@yahoo.com
Completed,Individual And Choreography,Paypal,23362,C-AB-22-2010,0,0,0,Callum,MacDonald,,,8,,2014,06,24,N08,08,,,Scotia Dance Academy,,,,,,callum_macdonald69@gmail.com,6586 Park Avenue,Liverpool,England,AB84 6AH,817-832-8186,,42.5,,,83,2023-01-29 09:58,Yes,No,No,L8F95YUP4W04C2EKB,callummacdonald@telus.net
